index,prompt,completion
,Report that shows all the calls.\n,##all()##
,I want a report of all the calls.\n,##all()##
,I want to see all calls.\n,##all()##
,Display a summary of all calls.\n,##all()##
,Show me a summary of all calls.\n,##all()##
,I want to see the total number of calls.\n,##all()##
,return all calls.\n,##all()##
,Show me all calls from caller John Doe.\n,"##where(caller,LIKE, &#37;John Doe&#37; )##"
,I want to see all calls that were made to a destination that contains 1234.\n,"##where(destination,LIKE, &#37;1234&#37; )##"
,Show the total number of recordings.\n,"##where(have_recording, true)##"
,I want a list of recorded calls.\n,"##where(have_recording, true)##"
,Show me a report that show all my calls with recordings.\n,"##where(have_recording, true)##"
,Display a list of calls that have recordings and lasted less than 1 minute.\n,"##whereRaw(CAST(JSON_VALUE(talk_time, '$.minutes') as int) < 1)->where(have_recording, true)##"
,All calls that have recordings and lasted less than 8 minute.\n,"##whereRaw(CAST(JSON_VALUE(talk_time, '$.minutes') as int) < 8)->where(have_recording, true)##"
,List all calls that have a recording and were not answered\n,"##where(is_answered,false)->where(have_recording,true)##"
,I want to see all calls that have a recording and were answered\n,"##where(is_answered,true)->where(have_recording,true)##"
,Show me the total number of unanswered inbound calls for each destination.\n,"##where(is_answered, false)->where(is_outbound, false)##"
,I want a report displaying all unanswered outbound calls.\n,"##where(is_answered, false)->where(is_outbound, true)##"
,Show me all calls that were not answered.\n,"##where(is_answered,false)##"
,I want a report of the number of missed calls.\n,"##where(is_answered,false)##"
,Display a summary of all missed calls.\n,"##where(is_answered,false)##"
,Display all calls that were not answered and had no recording.\n,"##where(is_answered,false)->where(have_recording,false)##"
,List all calls that were missed and had no recording\n,"##where(is_answered,false)->where(have_recording,false)##"
,Display all calls that were not answered and had a recording\n,"##where(is_answered,false)->where(have_recording,true)##"
,List all calls that were missed and had a recording\n,"##where(is_answered,false)->where(have_recording,true)##"
,I want to review calls that were missed today in Pacific Standard Time.\n,"##where(is_answered,false)->whereRaw(call_start AT TIME ZONE 'UTC' AT TIME ZONE 'Pacific Standard Time' BETWEEN GETDATE() AND GETDATE() &#43; 1)##"
,I want to review calls that were missed today in PST.\n,"##where(is_answered,false)->whereRaw(call_start AT TIME ZONE 'UTC' AT TIME ZONE 'Pacific Standard Time' BETWEEN GETDATE() AND GETDATE() &#43; 1)##"
,Show me the total number of inbound calls.\n,"##where(is_outbound, false)##"
,Display the total number of inbound calls.\n,"##where(is_outbound, false)##"
,Show me a list of inbound calls that have no recordings.\n,"##where(is_outbound, false)->where(have_recording, false)##"
,Show me the total number of inbound calls with recordings.\n,"##where(is_outbound, false)->where(have_recording, true)##"
,I want to see a list of all inbound calls with recordings.\n,"##where(is_outbound, false)->where(have_recording, true)##"
,Show me the total number of outbound calls.\n,"##where(is_outbound, true)##"
,Show me a list of outbound calls.\n,"##where(is_outbound, true)##"
,I want to see a list of all outbound calls without recordings\n,"##where(is_outbound, true)->where(have_recording, false)##"
,I want to see a list of outbound calls that lasted more than 30 seconds.\n,"##where(is_outbound, true)->whereRaw(CAST(JSON_VALUE(talk_time, '$.seconds') as int) > 30)##"
,Give me a report of outbound where the talk time was less than 1 minute.\n,"##where(is_outbound, true)->whereRaw(CAST(JSON_VALUE(talk_time, '$.minutes') as int) < 1)##"
,I want a report that shows all the inbound calls.\n,"##where(is_outbound,false)##"
,give me all inbound calls.\n,"##where(is_outbound,false)##"
